2018|2|1
2017|13|5
2009|5|7
2012|5|4
2010|15|6
2008|9|6
2010|12|5
2010|19|6
2015|18|4
2015|22|4
2014|19|4
2017|51|7
2003|9|5
2015|6|4
2011|24|4
2015|36|4
2017|5|3
2014|7|6
2011|49|3
2016|6|5
2015|3|5
2018|2|2
2018|2|6
2017|6|3
2017|13|6
2007|15|4
2014|32|4
2009|47|6
2008|2|6
2012|49|3
2006|3|5
2010|19|5
2011|29|6
2003|5|6
2018|4|6
2017|52|7
2009|27|4
2011|12|3
2003|9|6
2017|49|4
2016|2|4
2015|19|4
2015|19|6
2008|44|6
2005|42|3
2017|44|5
2018|3|3
2016|6|6
2017|16|7
